Name ,Lowest Income,Low Income,Middle Income,High Income,Highest Income
JETBLUE AIRWAYS CORPORATION CREW MEMBER GOOD GOVERNMENT FUND (JETBLUE PAC),1150,10425,120326.21,209363.53,548663.38
KENNEDY FOR SENATE,87010,19291.51,38820,154128.44,119899
BEN WALSH FOR SYRACUSE,168675,12695,33929.93,254247.6,577421.51
FRIENDS OF ELIZABETH CROWLEY,15505,35771.72,25780,79559.97,360383.17
SUFFOLK COUNTY REPUBLICAN COMMITTEE CAMPAIGN ACCT (SCRC),8300,14250,54336,83185,347293.67
LANDER FOR NYC,8204.42,60526.61,72500,124339.5,200085
FRIENDS OF ANDREA STEWART-COUSINS,72755,224915,169748.15,407350,116704
COREY 2021,29418,19021,62474.66,202179.19,347333
STATE STREET ASSOCIATES PAC,5000,15167,49818,87950,367950
MCMAHON FOR ONONDAGA COUNTY,84170.09,2313,17895,97290.2,514725.7
REPUBLICAN ASSEMBLY CAMPAIGN COMMITTEE,113575,5992.85,14272,132938.6,470539.75
ALVIN BRAGG FOR DA (DISTRICT ATTORNEY),18725,53878,33860.75,38972,402123.77
FRIENDS OF JAMES SKOUFIS,58480,61643.83,145220.96,65196.93,136450
MIMI ROCAH FOR DA,61130,20490,89328.37,200266.95,96520
GAUGHRAN 2020,11521.41,61000,8463.18,126660,127225
FRIENDS OF CHERYL DINOLFO,64474,38968.08,6375,22500.18,428814
NEW YORKERS FOR A BRIGHTER FUTURE,28434.7,61746,49603,46775,383609.27
FRIENDS OF BO DIETL,17245,13779.06,81940,123606.94,489443.24
NEW YORK REPUBLICAN COUNTY COMMITTEE,31250,75,551781.18,97434,491548.65
NEW YORK ANESTHESIOLOGISTS POLITICAL ACTION COMMITTEE (NYAPAC),33627.38,8512.94,34053.55,106796.77,142025
MARK LEVINE 2017,47705,24004,100,210,278955
COMMITTEE TO ELECT ALESSANDRA BIAGGI,12014.87,28875,15199.98,31125,517195.5
PPNYC VOTES PAC (PLANNED PARENTHOOD OF NEW YORK CITY),8750,36233,37306.25,83482.5,433206
NEW YORKERS FOR DIAZ,42090,1245,38510,56170,322565.44
HOYLMAN FOR SENATE,13880,2156.24,142043.59,118914.71,273055.73
FRIENDS OF KAREN S. SMYTHE,19925,5000,10940.6,56242.41,383464.63
FRIENDS OF DON CLAVIN,4845,11195,11488.34,31972.7,549301.59
ANNA KAPLAN FOR NY STATE SENATE,5275,50831.78,7700,164311.29,482817.56
TOWN OF BABYLON DEMOCRATIC COMMITTEE,11485,29518.66,15456,56989.02,353917.5
PETE HARCKHAM FOR SENATE,16050,6240,85524.54,88961.89,407358.02
CABAN FOR QUEENS,16025.84,78802,115835.24,170525.18,221231.2
ADAM BELLO FOR COUNTY EXECUTIVE,80938.85,51637.58,42632.97,104499.98,456611.92
GREENFIELD NYC,81588,3500,99311,53009,464833.34
JACOBS FOR STATE SENATE,74279,4600,194129.05,115319,317670
TOWN OF HEMPSTEAD REPUBLICAN COMMITTEE,11375,120787.72,8575,66125,410186.33
MAYOR MIKE SPANO COMMITTEE,24460,8765.12,61840,159766.5,257323.26
FRIENDS OF LESLIE,28591.36,15843.95,123607.96,136333.1,106519.84
CITIZENS FOR D'ESPOSITO,2090,42129.08,7556.69,140329.7,341402.76
MASON TENDERS DISTRICT COUNCIL OF GREATER NEW YORK POLITICAL ACTION COMMITTEE,9241.4,27490,41635.13,161902.42,159736
MOLINARO FOR DUTCHESS,57376.92,25492.5,74924.63,100445.73,39758
RICHARDS FOR NEW YORK,16540,56691,64221,123873,372665
DOCTORS COUNCIL SEIU COPE,25620,5887,55363.51,102775,211147
